date,brand_key,brand_name,rank,title,href,href_clean,plan_start,plan_end,img_url,img_local,img_status,img_w,img_h,img_bytes,brand_resolved_url
2026-03-06,tnf,The North Face,1,박보검 몬테라 자켓 기획전,https://www.thenorthfacekorea.co.kr/event/eventCategoryNF?pagetype=view&storageId=92981,https://www.thenorthfacekorea.co.kr/event/eventCategoryNF?pagetype=view&storageId=92981,2025-09-21,2028-09-20,https://image.thenorthfacekorea.co.kr/cmsstatic/260200_박보검_몬테라자켓_기획전-main_banner_PC.webp,tnf_1_234f0912b5.jpg,ok,1100,500,94902,https://www.thenorthfacekorea.co.kr/
2026-03-06,tnf,The North Face,2,RED BOX COLLECTION 현대적인 실루엣의 재해석,https://www.thenorthfacekorea.co.kr/event/eventCategoryNF?pagetype=view&storageId=92989,https://www.thenorthfacekorea.co.kr/event/eventCategoryNF?pagetype=view&storageId=92989,,,https://image.thenorthfacekorea.co.kr/cmsstatic/260200_레드박스기획전_main_banner_PC.webp,tnf_2_8337cc5de7.jpg,ok,1100,500,48102,https://www.thenorthfacekorea.co.kr/
2026-03-06,tnf,The North Face,3,TNF100 일반접수,https://www.thenorthfacekorea.co.kr/tnf100,https://www.thenorthfacekorea.co.kr/tnf100,,,https://image.thenorthfacekorea.co.kr/cmsstatic/17607/2026TNF100_Mainslide_mc-1.jpg,tnf_3_8df714d0f2.jpg,ok,750,1143,236875,https://www.thenorthfacekorea.co.kr/
2026-03-06,patagonia,Patagonia,1,main visual section,https://www.patagonia.co.kr/shop/goodsList/001005001000000,https://www.patagonia.co.kr/shop/goodsList/001005001000000,,,https://patagonia.edge.naverncp.com/banner/kerley_layla_00447_cc_WEB-1200x628.jpg,patagonia_1_6c34d03fcb.jpg,ok,1100,575,125874,https://www.patagonia.co.kr/
2026-03-06,arcteryx,Arc'teryx,1,NEW SPRING ARRIVALS,https://arcteryx.co.kr/products/category/223,https://arcteryx.co.kr/products/category/223,,,https://public.arcteryx.co.kr/images/banner/VJVLba2x81jUuJ2q1u5yzi1UDYMk0Qqyj2HG7Mho.jpg,arcteryx_1_a82a7dd297.jpg,ok,1100,618,108590,https://arcteryx.co.kr/
2026-03-06,salomon,Salomon,1,LIGHT SIGNAL MODYSSEY AERO,https://salomon.co.kr/collections/26ss_app_modyssey-aero,https://salomon.co.kr/collections/26ss_app_modyssey-aero,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_2_02_180x.jpg?v=1772590343,salomon_1_892d5d0e48.jpg,ok,180,70,2545,https://salomon.co.kr/
2026-03-06,salomon,Salomon,2,FOR OFF TRACK MIND GRAVEL RUNNING,https://salomon.co.kr/collections/26ss_ftw_gravel-running,https://salomon.co.kr/collections/26ss_ftw_gravel-running,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_02_768a94d7-473a-4261-a7dc-a6cb7659bb39_180x.jpg?v=1772590662,salomon_2_5004ee0d61.jpg,ok,180,70,3867,https://salomon.co.kr/
2026-03-06,salomon,Salomon,3,TIMELESS TRAIL COLLECTION,https://salomon.co.kr/collections/26ss_app_trail-running,https://salomon.co.kr/collections/26ss_app_trail-running,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_1_02_180x.jpg?v=1770946914,salomon_3_2fea57ca23.jpg,ok,180,70,5277,https://salomon.co.kr/
2026-03-06,snowpeak,Snow Peak,1,"자연을 입고 일상을 걷다 26 SS, The Peak Moment",http://snowpeakstore.co.kr/goods/event_sale.php?sno=564,http://snowpeakstore.co.kr/goods/event_sale.php?sno=564,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260303_14s/img/banner/85461e167656fd8bed5544ee6246bd1b_57287.jpg,snowpeak_1_2ce5e3ad51.jpg,ok,1100,575,74617,https://www.snowpeakstore.co.kr/
2026-03-06,snowpeak,Snow Peak,2,2만원 즉시 할인 루트 바람막이 컬렉션,http://snowpeakstore.co.kr/goods/event_sale.php?sno=562,http://snowpeakstore.co.kr/goods/event_sale.php?sno=562,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260303_14s/img/banner/41f30d4c1cee2fc2525b8fbf67e2520a_99441.jpg,snowpeak_2_29d4123059.jpg,ok,1100,575,62831,https://www.snowpeakstore.co.kr/
2026-03-06,snowpeak,Snow Peak,3,"광활한 자연 속, 움직임의 기준 Move With Nature",http://snowpeakstore.co.kr/goods/event_sale.php?sno=570,http://snowpeakstore.co.kr/goods/event_sale.php?sno=570,,,https://snowpetr1909.cdn-nhncommerce.com/data/skin/front/260303_14s/img/banner/085c593f6ba05a5c759f300572bec054_49259.jpg,snowpeak_3_9dd89afd11.jpg,ok,1100,575,42500,https://www.snowpeakstore.co.kr/
