date,brand_key,brand_name,rank,title,href,href_clean,plan_start,plan_end,img_url,img_local,img_status,img_w,img_h,img_bytes,img_signature,brand_resolved_url,extract_source,confidence_score,is_fallback,is_primary_hero,landing_title,landing_subtitle,landing_summary,landing_keywords,landing_category,landing_text_status
2026-09-17,patagonia,Patagonia,1,main visual section,https://www.patagonia.co.kr/shop/goodsList/001005001000000,https://www.patagonia.co.kr/shop/goodsList/001005001000000,,,https://patagonia.edge.naverncp.com/banner/PhotoshopExtension_Image%20%2821%29.jpeg,patagonia_1_c72bbdd3c5.jpg,ok,1100,618,109324,5b7ff82eaacd0fbe,https://www.patagonia.co.kr/,patagonia_static_hero,0.94,0,1,"새로운 계절, 자연으로 나설 준비",Some stories to get you out there.,"파타고니아코리아 온라인 스토어, 환경과 사회에 대한 책임 기업",,,ok
2026-09-17,arcteryx,Arc'teryx,1,INTRODUCING THE SPERRO SV,https://arcteryx.co.kr/products/view/686769,https://arcteryx.co.kr/products/view/686769,,,https://arcteryx.co.kr/img/main/hero-sperro-full-logo.svg,arcteryx_1_0c04ddc32b.jpg,ok,0,0,3431,dc922a152a6b4037,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,아크테릭스코리아 : 스페로 SV 재킷 남성 0,상품 정보 및 제공 고시,"혁신적인 고기능 아웃도어 제품을 다루는 캐나다 밴쿠버에서 시작된 아웃도어 브랜드입니다. 알파인, 클라이밍, 하이킹, 트레일 러닝, 스키, 스노보드 등 다양한 액티비티를 위한 의류, 장비, 라이프스타일 아이템을 제공합니다.","재킷, 고기능성",러닝,ok
2026-09-17,arcteryx,Arc'teryx,2,THE REVOLUTION IS CIRCULAR,https://arcteryx.co.kr/system-0/,https://arcteryx.co.kr/system-0/,,,https://public.arcteryx.co.kr/images/banner/f8u6axbfoXzpjJ58inJssPEOWzfqR07S2SWnqvh0.png,arcteryx_2_d18f51e776.jpg,ok,752,1004,81681,ee04b67fed1b5e63,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-17,arcteryx,Arc'teryx,3,NEW ARRIVALS,https://arcteryx.co.kr/products/category/223,https://arcteryx.co.kr/products/category/223,,,https://public.arcteryx.co.kr/images/banner/SBOxGZvPfuTU0Rd7dgFd39KcvytM2J36fnZHPwVt.webp,arcteryx_3_08dff03e52.jpg,ok,792,1056,269930,53babd7d2b2dbd09,https://arcteryx.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-17,salomon,Salomon,1,GREY HOURS,https://salomon.co.kr/pages/xt-korea-grey-hours,https://salomon.co.kr/pages/xt-korea-grey-hours,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_1_ecbb62f3-a008-435c-a8ac-85b71867d230_180x.jpg?v=1789546233,salomon_1_30816dc47a.jpg,ok,180,70,5402,d7e11bbf9b1a0597,https://salomon.co.kr/,hero_slider_container,0.88,0,1,XT-KOREA GREY HOURS – Salomon Korea,바쁘게 흘러가는 회색빛 도심 속에서도 저마다의 걸음걸이는 다릅니다,회색 도시를 가로지르는 두 가지 방식,"다운, 자켓, 신발",풋웨어,ok
2026-09-17,salomon,Salomon,2,Salomon Korea,https://salomon.co.kr/pages/membership,https://salomon.co.kr/pages/membership,,,https://salomon.co.kr/cdn/shop/files/SALOMON_logo_500x.png?v=1687134649,salomon_1_d8c3ccc324.jpg,ok,309,38,741,f327d4324fe1281e,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-17,salomon,Salomon,3,X-FUSE Down V2,https://salomon.co.kr/collections/x-fuse,https://salomon.co.kr/collections/x-fuse,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_1_f633b2a0-bb3d-4c40-80d8-c2a4b5d499a1_180x.jpg?v=1789536562,salomon_2_14c9142467.jpg,ok,180,70,4624,53246d216682641b,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-09-17,salomon,Salomon,4,하이킹 아우터,https://salomon.co.kr/,https://salomon.co.kr/,,,https://salomon.co.kr/cdn/shop/files/6_7c9b34cc-6a78-466f-9bcc-0dbd8af91214.jpg?v=1789540512,salomon_2_65c3cf53e9.jpg,ok,800,600,182402,532dd5179e5c18bf,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-17,salomon,Salomon,5,FOR OFF TRACK MINDS,https://salomon.co.kr/pages/gravel-running,https://salomon.co.kr/pages/gravel-running,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_072bee92-2419-4b0a-b1c2-af0fa994dba9_180x.jpg?v=1789349174,salomon_3_53f8440a8b.jpg,ok,180,70,5680,e89e0239add856a0,https://salomon.co.kr/,hero_slider_container,0.88,0,0,,,,,,skipped
2026-09-17,salomon,Salomon,6,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_1_ecbb62f3-a008-435c-a8ac-85b71867d230_2450x.jpg?v=1789546233,salomon_4_f5d339e94e.jpg,cached,1100,427,112803,eadc0552a5e33edc,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-17,salomon,Salomon,7,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_1_f633b2a0-bb3d-4c40-80d8-c2a4b5d499a1_1512x.jpg?v=1789536562,salomon_6_e01f14dee5.jpg,cached,1100,427,98733,3a0f68097c10db4b,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-17,salomon,Salomon,8,메인 배너,,,,,https://salomon.co.kr/cdn/shop/files/PC_main_2880x1120_072bee92-2419-4b0a-b1c2-af0fa994dba9_1512x.jpg?v=1789349174,salomon_8_4bbdcc8112.jpg,cached,1100,427,176608,e52c3c2b27b1703f,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-17,salomon,Salomon,9,러닝,https://salomon.co.kr/collections/gnb-running,https://salomon.co.kr/collections/gnb-running,,,https://salomon.co.kr/cdn/shop/files/d108e3dec01c91e1fa4b2cc9099e0daa_460x.jpg?v=1788242498,salomon_10_33901b4034.jpg,ok,460,613,72146,7d9cccc796261397,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-17,salomon,Salomon,10,image,https://salomon.co.kr/collections/26_app_modyssey,https://salomon.co.kr/collections/26_app_modyssey,,,https://salomon.co.kr/cdn/shop/files/7_c88ff2da-c08b-4897-91cb-c92ba6a34938.jpg?v=1789431502,salomon_11_9b4b12a79a.jpg,ok,750,990,121279,3ce97592c702daa9,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
2026-09-17,salomon,Salomon,11,image,https://salomon.co.kr/collections/gtws_training,https://salomon.co.kr/collections/gtws_training,,,https://salomon.co.kr/cdn/shop/files/750x1000_MO_half_2_7b517a97-5236-4de5-bca8-97c8333e2b68.jpg?v=1788916473,salomon_12_88c54ab0bc.jpg,ok,746,1000,202798,97227bcdaf5aded0,https://salomon.co.kr/,generic_fallback,0.55,1,0,,,,,,skipped
